RFV13D,RFV description
-9,Blank
0,Blank
1005,Chills
1010,Fever
1012,Other symptoms of body temperature
1015,"Tiredness, exhaustion"
1020,General weakness
1025,General ill feeling
1030,Fainting (syncope)
1035,Symptoms of fluid abnormalities
1040,Weight gain
1045,Weight loss
1046,"Symptoms of face, not elsewhere class..."
1050,Chest pain and related symptoms (not ...
1055,"Pain, site not referable to a specifi..."
1060,"Pain and related symptoms, general, s..."
1065,"Tumor or mass, site unspecified"
1066,"Lesion, internal, NOS (excludes brain and"
1070,"Bleeding, site unspecified"
1075,Symptoms of growth and developmental ...
1080,"General symptoms of infants, NEC"
1085,General or unspecified nonviral infec...
1090,"Allergy, NOS"
1095,Disorders of motor functions
1096,"Dyslexia, NOS"
1100,Anxiety and nervousness
1105,Fears and phobias
1110,Depression
1115,Anger
1120,Problems with identity and self-esteem
1125,Restlessness
1130,Behavioral disturbances
1135,Disturbances of sleep
1140,Smoking problems
1145,Alcohol-related problems
1150,Abnormal drug usage
1155,Delusions or hallucinations
1160,Psychosexual disorders
1165,Oth sympt/prob relat psychological an...
1200,Abnormal involuntary movements
1205,Convulsions
1207,"Symptoms of head, NEC"
1210,"Headache, pain in head"
1215,"Memory, disturbances of"
1220,Disturbances of sensation
1225,Vertigo - dizziness
1230,Weakness (neurologic)
1235,"Disorders of speech, speech disturbance"
1240,Other symptoms referable to the nervo...
1260,Abnormal pulsations and palpitations
1265,Heart pain
1270,Other symptoms of the heart
1275,Symptoms of lymph glands (or nodes)
1280,Oth sympt referable to the cardiovasc...
1305,Vision dysfunctions
1310,Discharge from eye
1315,Eye infection and inflammation
1320,Abnormal sensations of the eye
1325,Abnormal eye movements
1330,Abnormal appearance of eyes
1335,"Other symptoms referable to eye, NEC"
1340,Symptoms of eyelids
1345,Hearing dysfunctions
1350,Discharge from ear
1355,"Earache, or ear infection"
1360,Plugged feeling in ear
1365,"Other symptoms referable to the ears,..."
1400,Nasal congestion
1405,Other symptoms of nose
1410,Sinus problems
1415,Shortness of breath
1420,Labored or difficult breathing
1425,Wheezing
1430,"Breathing problems, NEC"
1435,Sneezing
1440,Cough
1445,"Head cold, upper respiratory infectio..."
1450,General viral infection
1455,Symptoms referable to throat
1460,Symptoms referable to tonsils
1470,Abnormalities of sputum or phlegm
1475,Congestion in chest
1480,Disorders of voice
1485,Other symptoms referable to the respi...
1500,Symptoms of teeth and gums
1501,"Symptoms of the jaw, NOS"
1505,Symptoms referable to lips
1510,Symptoms referable to mouth
1515,Symptoms referable to tongue
1520,Difficulty in swallowing (dysphagia)
1525,Nausea
1530,Vomiting
1535,Heartburn and indigestion (dyspepsia)
1540,Gastrointestinal infection
1545,"Stomach and abdominal pain, cramps an..."
1565,Change in abdominal size
1570,"Appetite, abnormal"
1575,Difficulty eating
1580,Gastrointestinal bleeding
1585,Flatulence
1590,Constipation
1595,Diarrhea
1600,Other symptoms or changes in bowel fu...
1605,Symptoms referable to anus-rectum
1610,"Symptoms of liver, gallbladder, and b..."
1615,Other symptoms referable to digestive...
1640,Abnormalities of urine
1645,Frequency and urgency of urination
1650,Painful urination
1655,Incontinence of urine (enuresis)
1660,Other urinary dysfunctions
1665,Symptoms of bladder
1670,Symptoms of the kidneys
1675,"Urinary tract infection, NOS"
1680,Other symptoms referable to urinary t...
1700,Symptoms of penis
1705,Penile discharge
1710,Symptoms of prostate
1715,Symptoms of the scrotum and testes
1720,Other symptoms of male reproductive s...
1730,Absence of menstruation (amenorrhea)
1735,Irregularity of menstrual interval
1740,Irregularity of menstrual flow
1745,"Menstrual symptoms, other and unspeci..."
1750,Menopausal symptoms
1755,Uterine and vaginal bleeding
1760,Vaginal discharge
1765,Other vaginal symptoms
1770,Vulvar disorders
1775,Pelvic symptoms
1790,Problems of pregnancy
1791,Postpartum problems
1795,Other symptoms referable to the femal...
1800,Pain or soreness of breast
1805,Lump or mass of breast
1810,Other symptoms referable to breast
1815,Symptoms of infertility
1820,Hormone deficiency or problem
1825,Symptoms of sexual dysfunction
1830,Acne or pimples
1835,Discoloration or pigmentation
1840,"Infections of skin, NOS"
1845,Symptoms of skin moles
1850,"Warts, NOS"
1855,Other growths of skin
1860,Skin rash
1865,Skin lesion
1870,"Skin irritations, NEC"
1875,Swelling of skin
1880,Other symptoms referable to skin
1885,Symptoms referable to nails
1890,Symptoms referable to hair and scalp
1895,Other symptoms of nails and hair
1900,Neck symptoms
1905,Back symptoms
1910,Low back symptoms
1915,Hip symptoms
1920,Leg symptoms
1925,Knee symptoms
1930,Ankle symptoms
1935,Foot and toe symptoms
1940,Shoulder symptoms
1945,Arm symptoms
1950,Elbow symptoms
1955,Wrist symptoms
1960,Hand and finger symptoms
1965,Symptoms of unspecified muscles
1970,Symptoms of unspecified joints
1975,Musculoskeletal deformities
1980,Other musculoskeletal symptoms; inclu...
2005,Intestinal infectious diseases
2010,Streptococcal infection
2015,Viral diseases
2020,Venereal diseases
2025,Fungus infections (mycoses)
2030,Parasitic diseases
2031,"Sepsis, septicemia"
2035,Other and unspecified infectious and ...
2100,"Cancer, gastrointestinal tract"
2105,"Cancer, respiratory tract"
2110,"Cancer, skin and subcutaneous tissues"
2115,"Cancer, breast"
2120,"Cancer, female genital tract"
2125,"Cancer, male genital tract"
2126,Cancer of urinary tract
2130,Other malignant and unspecified neopl...
2135,"Hodgkin's disease, lymphomata, leukemias"
2140,Fibroids and other uterine neoplasms
2145,Other benign neoplasms
2150,Neoplasm of uncertain nature
2200,Diseases of the thyroid gland
2201,Diabetic skin ulcer (wound check)
2205,Diabetes mellitus
2210,"Gout, hyperuricemia"
2215,"Other endocrine, nutritional, and met..."
2250,Anemia
2255,Other diseases of blood and blood-for...
2300,Organic psychoses
2305,Functional psychoses
2310,Neuroses
2315,Personality and character disorders
2320,Alcoholism
2321,Drug dependence
2325,Mental retardation
2330,Other mental disease
2350,Multiple sclerosis
2355,Parkinson's disease (paralysis agitans)
2360,Epilepsy
2365,Migraine headache
2370,Other diseases of central nervous system
2400,Inflammatory diseases of the eye
2405,Refractive error
2410,Cataract
2415,Glaucoma
2420,Other diseases of the eye
2450,Otitis media
2455,Other diseases of the ear
2500,Rheumatic fever and chronic rheumatic...
2505,Hypertension with involvement of targ...
2510,Hypertension
